ligand,AK1,cc93,Fent2 436L,iCytBrEtSnFR,iCytSnFR,iEscSnFR,iFloxSnFR,iLevaphenolSnFR1.0,L194,Tap1.0,V4.8.1.2,v4.6,V6,V7,V7.1,V7.1.2,V8,V9
aspartame,0.06927465363,0.07802628422,0.1168081699,0.1446928619,0.1431847777,-0.005061497191,-0.001996083158,0.2842698588,0.05901004051,-0.01589595376,0.09253450439,0.08890282847,-0.08272506083,0.05276442723,0.04980427879,-0.009465355321,0.1320054435,0.1406167167
l-thyroxine,0.3193154034,-0.3858129182,-0.4064718857,-0.407932853,-0.4328973198,-0.5382902262,-0.02866074119,-0.4785286769,1.521754448,1.239884393,0.2797992472,0.4065921533,0.2295214923,-0.3258531863,-0.3469558581,0.234119648,-0.6303352716,-0.4842728397
milirinone,0.08655256724,0.07794631194,0.08472066955,0.1173958256,0.1255466366,0.02707900997,0.0207140705,0.1965831832,0.1150255417,0.549132948,0.06618569635,0.0825729927,-0.09529602596,0.02963244701,-0.002191092839,-0.02144494565,0.06779661017,0.1289980562
T3,-0.2479217604,-0.1574920694,-0.5104390126,-0.1161888138,-0.1964879205,-0.3107759275,-0.2214145827,-0.1552675925,-0.1867183372,-0.3684971098,-0.5181932246,-0.1776345803,-0.195458232,-0.07399467515,-0.158472636,-0.1197219552,-0.6295929729,-0.1886375685
bilirubin,-0.4553566118,-0.4661412424,-0.3734301413,-0.465964153,-0.3102076631,-0.3295706298,-0.3355166422,-0.2423001602,-0.03998271022,-0.560130011,0.6200084068,-0.5483193278,0.1283676703,-0.4473752263,-0.4867273065,-0.08541266799,-0.126621924,-0.6193309629
digoxin,-0.3918267801,-0.5038888313,-0.2193877551,-0.1914192972,-0.008599005557,-0.1230087562,-0.4075658334,0.07210254584,0.7047763129,0.1397616468,0.02311895755,-0.02661064426,0.676250849,-0.4564261702,-0.5379617598,0.02447216891,-0.574049217,-0.6752775561
folic acid,-0.07703289515,-0.05216219021,-0.2211538462,-0.1068353954,-0.08394267331,-0.1884164996,-0.03127924076,0.0274167705,0.5483034363,-0.8028169016,0.3526691887,0.1162464986,0.353860086,-0.03465218518,-0.110636718,0.4784069097,-0.03624161082,-0.3001233583
theobromine,-0.2396050205,-0.219330084,-0.001569858711,-0.1054240956,-0.1041825095,-0.08619052643,-0.07031145569,0.1470535873,0.5284201426,0.2611050921,-0.0844892812,-0.06139122315,0.323069957,-0.07240755107,-0.2298125116,0.1151631478,-0.6787472036,-0.373557797
atorvastatin (calcium salt hydrate),-0.6109690084,0.0629472156,-0.4197409733,-0.4630474667,0.1108511261,-0.2376832999,-0.3555674375,0.08064803276,-0.4583963691,0.04658721562,-0.5418242959,-0.0758636788,-0.3669911705,-0.01086113266,-0.01837757564,-0.4616122841,-0.8559284116,-0.5342137726
(-)-epinepherine (+)-bitartrate salt,-0.06589147286,0.2055950267,0.06507864145,0.0785383493,0.143866734,0.4239054899,0.02040417847,0.09518614483,0.158778626,0.1462450593,0.09112333075,0.05411734097,0.01469179177,0.2226540811,0.2297128589,0.2590361446,0.2997946613,0.3968182837
dopamine,0.02756244617,0.07904085258,0.105767039,0.163991626,0.1721352852,0.1779013204,0.1261349214,0.0604118369,0.1427480916,0.1660079052,0.138256088,0.08299726812,0.05301820505,0.1093836757,0.1161048689,0.1710843374,0.1519507187,0.1682724625
L-dopa,-0.05081826012,0.0843694494,0.1122635058,0.07378037176,0.03811206462,0.04343293956,0.02538318852,0.004363834725,0.1164122138,0.114624506,0.1335428123,0.03616495382,0.06547428938,0.09938922823,0.102372035,0.07951807231,0.1950718687,0.1286130406
carbadopa,-0.05943152454,0.05373001778,-0.03510371552,0.02334580981,0.01489146896,0.06219596944,-9.762764424e-05,0.01663711987,0.03854961834,0.09486166013,0.09112333075,0.04162872382,0.05014372406,0.04941699058,0.1148564295,0.08072289158,0.07802874752,0.05131077751
(–)-Norepinephrine (bitartrate hydrate),-0.1037898363,0.009769094156,-0.02689765215,-0.04155300387,-0.02877334679,-0.05246699095,-0.09499170165,-0.03204691122,-0.007251908382,0.04347826092,0.03692065989,-0.0758423312,-0.01213669753,0.02276513051,-0.01747815229,0.01807228917,0.04106776189,-0.02330271117
